pressure,wind_speed,temperature,humidity
0.289474,0.215702,0.455411,0.029860
0.322792,0.414425,0.424397,-0.095414
0.365351,0.547542,0.363161,-0.227924
0.411720,0.617288,0.286823,-0.345924
0.456165,0.633717,0.213009,-0.428688
0.493262,0.612448,0.158352,-0.459872
0.518529,0.571756,0.135274,-0.430143
0.529002,0.529519,0.149680,-0.338594
0.523671,0.500573,0.199957,-0.192700
0.503714,0.494884,0.277455,-0.006865
0.472457,0.516774,0.368310,0.200159
0.435035,0.565240,0.456248,0.408460
0.397771,0.635174,0.525798,0.600185
0.367317,0.719148,0.565294,0.762177
0.349671,0.809364,0.569087,0.887588
0.349212,0.899337,0.538569,0.976231
0.367904,0.985016,0.481824,1.033676
0.404818,1.065163,0.412005,1.069357
0.456089,1.140986,0.344783,1.094119
0.515358,1.215207,0.295362,1.117748
0.574666,1.290831,0.275653,1.146967
0.625701,1.369934,0.292128,1.184299
0.661208,1.452774,0.344757,1.227949
0.676336,1.537424,0.427185,1.272689
0.669678,1.619987,0.528084,1.311461
0.643806,1.695322,0.633384,1.337315
0.605150,1.758094,0.728920,1.345231
0.563195,1.803877,0.802995,1.333405
0.529092,1.830038,0.848364,1.303734
0.513862,1.836204,0.863296,1.261424
0.526486,1.824204,0.851571,1.213826
0.572221,1.797515,0.821453,1.168804
0.651421,1.760345,0.783914,1.133021
0.759135,1.716617,0.750486,1.110547
0.885573,1.669085,0.731183,1.102103
1.017432,1.618816,0.732886,1.105130
1.139886,1.565188,0.758474,1.114629
1.238931,1.506394,0.806799,1.124600
1.303704,1.440351,0.873432,1.129698
1.328366,1.365779,0.951952,1.126731
1.313200,1.283185,1.035437,1.115623
1.264718,1.195478,1.117816,1.099577
1.194695,1.108021,1.194795,1.084396
1.118295,1.028065,1.264168,1.077073
1.051545,0.963617,1.325522,1.083955
1.008617,0.921970,1.379452,1.108915
0.999347,0.908180,1.426560,1.151948
1.027455,0.923831,1.466531,1.208556
1.089780,0.966368,1.497581,1.270130
1.176679,1.029173,1.516461,1.325296
1.273561,1.102417,1.519079,1.362024
1.363292,1.174546,1.501622,1.370065
1.429083,1.234121,1.461933,1.343255
1.457364,1.271672,1.400804,1.281161
1.440149,1.281161,1.322839,1.189722
1.376495,1.260801,1.236591,1.080672
1.272783,1.213016,1.153841,0.969829
1.141796,1.143600,1.088041,0.874498
1.000731,1.060211,1.052140,0.810496
0.868497,0.970563,1.056179,0.789327
0.762768,0.880678,1.105093,0.816065
0.697269,0.793602,1.197197,0.888336
0.679773,0.708861,1.323699,0.996630
0.711098,0.622795,1.469428,1.125859
0.785267,0.529707,1.614758,1.257892
0.890751,0.423579,1.738441,1.374592
1.012555,0.299993,1.820928,1.460769
1.134744,0.157806,1.847596,1.506522
1.242983,0.000199,1.811335,1.508556
1.326646,-0.165194,1.714003,1.470245
1.380156,-0.327155,1.566461,1.400504
1.403392,-0.472641,1.387155,1.311710
1.401132,-0.589110,1.199423,1.217140
1.381717,-0.666980,1.027983,1.128423
1.355208,-0.701712,0.895160,1.053515
1.331420,-0.695090,0.817494,0.995576
1.318172,-0.655391,0.803268,0.952901
1.320073,-0.596356,0.851384,0.919886
1.337996,-0.535111,0.951736,0.888761
1.369291,-0.489376,1.087006,0.851686
1.408622,-0.474466,1.235549,0.802763
1.449216,-0.500629,1.374872,0.739524
1.484251,-0.571201,1.485113,0.663611
1.508110,-0.681940,1.551949,0.580513
1.517267,-0.821648,1.568489,0.498456
1.510685,-0.973992,1.535869,0.426692
1.489703,-1.120179,1.462535,0.373553
1.457487,-1.242032,1.362397,0.344700
1.418214,-1.324902,1.252222,0.341887
1.376196,-1.359942,1.148755,0.362506
1.335109,-1.345357,1.066056,0.399958
1.297503,-1.286469,1.013492,0.444749
1.264632,-1.194636,0.994668,0.486080
1.236601,-1.085275,1.007396,0.513583
1.212744,-0.975370,1.044635,0.518883
1.192093,-0.880935,1.096145,0.496701
1.173795,-0.814836,1.150516,0.445338
1.157379,-0.785315,1.197185,0.366523
1.142790,-0.795377,1.228090,0.264734
1.130215,-0.843037,1.238719,0.146194
1.119762,-0.922258,1.228421,0.017793
1.111110,-1.024332,1.200014,-0.113832
1.103253,-1.139368,1.158836,-0.242918
1.094445,-1.257628,1.111467,-0.364834
1.082396,-1.370498,1.064403,-0.476028
1.064707,-1.471015,1.022919,-0.573809
1.039459,-1.553984,0.990318,-0.656105
1.005829,-1.615808,0.967643,-0.721376
0.964565,-1.654203,0.953862,-0.768742
0.918196,-1.667978,0.946408,-0.798332
0.870877,-1.656968,0.941936,-0.811749
0.827850,-1.622173,0.937100,-0.812465
0.794610,-1.566028,0.929213,-0.805968
0.775894,-1.492666,0.916647,-0.799475
0.774709,-1.408027,0.898948,-0.801158
0.791585,-1.319646,0.876673,-0.818921
0.824224,-1.236052,0.851027,-0.858908
0.867646,-1.165796,0.823410,-0.924037
0.914824,-1.116231,0.795002,-1.012879
0.957723,-1.092254,0.766456,-1.119209
0.988545,-1.095271,0.737794,-1.232408
1.000974,-1.122626,0.708477,-1.338788
0.991172,-1.167679,0.677644,-1.423675
0.958347,-1.220574,0.644429,-1.473927
0.904784,-1.269627,0.608275,-1.480439
0.835348,-1.303112,0.569169,-1.440134
0.756548,-1.311129,0.527736,-1.357001
0.675361,-1.287218,0.485173,-1.241909
0.598052,-1.229400,0.443035,-1.111131
0.529204,-1.140439,0.402929,-0.983784
0.471161,-1.027265,0.366185,-0.878608
