pressure,wind_speed,temperature,humidity
0.069364,-0.573856,0.628915,-0.170316
-0.006333,-0.492034,0.428043,-0.087241
-0.055163,-0.410361,0.247397,-0.009561
-0.075313,-0.317877,0.107227,0.060053
-0.068368,-0.206164,0.022154,0.121409
-0.038811,-0.071802,-0.001052,0.176481
0.006906,0.082296,0.035531,0.228660
0.061534,0.246944,0.121394,0.281730
0.118242,0.408205,0.239330,0.338818
0.171637,0.550058,0.368215,0.401535
0.218455,0.657694,0.486355,0.469484
0.257787,0.720760,0.574867,0.540257
0.290875,0.735874,0.620519,0.609881
0.320514,0.707871,0.617624,0.673629
0.350237,0.649478,0.568683,0.727000
0.383424,0.579432,0.483732,0.766650
0.422551,0.519380,0.378542,0.791074
0.468680,0.490124,0.271998,0.800888
0.521302,0.507930,0.183119,0.798657
0.578520,0.581601,0.128171,0.788322
0.637508,0.710876,0.118346,0.774358
0.695136,0.886456,0.158304,0.760852
0.748603,1.091645,0.245750,0.750729
0.795932,1.305270,0.372057,0.745292
0.836246,1.505330,0.523739,0.744185
0.869738,1.672662,0.684524,0.745776
0.897389,1.793942,0.837667,0.747890
0.920491,1.863494,0.968166,0.748680
0.940111,1.883603,1.064573,0.747455
0.956624,1.863363,1.120217,0.745230
0.969444,1.816354,1.133709,0.744846
0.977034,1.757682,1.108764,0.750602
0.977208,1.700999,1.053416,0.767447
0.967674,1.656117,0.978800,0.799862
0.946713,1.627655,0.897669,0.850702
0.913847,1.614931,0.822851,0.920207
0.870342,1.613022,0.765806,1.005460
0.819415,1.614682,0.735413,1.100416
0.766082,1.612611,0.737090,1.196570
0.716628,1.601522,0.772307,1.284163
0.677791,1.579528,0.838513,1.353743
0.655780,1.548526,0.929488,1.397783
0.655300,1.513514,1.036084,1.412068
0.678784,1.481038,1.147286,1.396551
0.725955,1.457161,1.251521,1.355527
0.793826,1.445475,1.338065,1.297032
0.877147,1.445690,1.398403,1.231574
0.969216,1.453164,1.427372,1.170412
1.062934,1.459569,1.423905,1.123670
1.151891,1.454596,1.391264,1.098646
1.231310,1.428336,1.336669,1.098615
1.298665,1.373829,1.270339,1.122343
1.353872,1.289161,1.204039,1.164412
1.399023,1.178599,1.149335,1.216285
1.437715,1.052405,1.115804,1.267922
1.474126,0.925284,1.109493,1.309648
1.511995,0.813692,1.131900,1.333931
1.553735,0.732529,1.179671,1.336753
1.599821,0.691880,1.245116,1.318319
1.648598,0.694530,1.317479,1.282996
1.696536,0.734814,1.384795,1.238491
1.738873,0.799151,1.436023,1.194428
1.770536,0.868245,1.463081,1.160587
1.787154,0.920593,1.462431,1.145114
1.785956,0.936643,1.435887,1.153019
1.766400,0.902784,1.390480,1.185219
1.730385,0.814339,1.337361,1.238275
1.682019,0.676897,1.289912,1.304850
1.626981,0.505632,1.261362,1.374810
1.571590,0.322668,1.262349,1.436754
1.521764,0.152916,1.298852,1.479726
1.482065,0.019173,1.370887,1.494833
1.454993,-0.062567,1.472223,1.476526
1.440678,-0.086646,1.591202,1.423355
1.437009,-0.059356,1.712529,1.338132
1.440163,0.001759,1.819737,1.227485
1.445442,0.070860,1.897896,1.100920
1.448227,0.118541,1.936075,0.969532
1.444885,0.117461,1.929128,0.844560
1.433441,0.047813,1.878490,0.735981
1.413883,-0.098436,1.791828,0.651316
1.388066,-0.315387,1.681646,0.594761
1.359222,-0.583616,1.563096,0.566745
1.331199,-0.873126,1.451409,0.563929
1.307570,-1.148365,1.359422,0.579637
1.290815,-1.374390,1.295652,0.604658
1.281733,-1.523062,1.263236,0.628350
1.279212,-1.578106,1.259920,0.639920
1.280414,-1.538095,1.279029,0.629772
1.281334,-1.416783,1.311202,0.590771
1.277643,-1.240722,1.346506,0.519292
1.265634,-1.044603,1.376503,0.415905
1.243090,-0.865182,1.395832,0.285583
1.209903,-0.734926,1.403042,0.137369
1.168290,-0.676535,1.400494,-0.016537
1.122571,-0.699351,1.393424,-0.162193
1.078512,-0.798259,1.388377,-0.285698
1.042345,-0.955237,1.391390,-0.375133
1.019643,-1.143184,1.406310,-0.422388
1.014236,-1.331249,1.433634,-0.424580
1.027377,-1.490605,1.470124,-0.384827
1.057315,-1.599561,1.509270,-0.312163
1.099365,-1.647063,1.542515,-0.220562
1.146479,-1.633978,1.560967,-0.127111
1.190230,-1.572004,1.557230,-0.049589
1.222070,-1.480523,1.526966,-0.003768
1.234629,-1.382115,1.469827,-0.000871
1.222868,-1.297694,1.389575,-0.045617
1.184884,-1.242270,1.293344,-0.135198
1.122224,-1.222182,1.190209,-0.259441
1.039674,-1.234335,1.089363,-0.402173
0.944537,-1.267522,0.998310,-0.543639
0.845528,-1.305484,0.921457,-0.663620
0.751460,-1.331019,0.859432,-0.744759
0.669919,-1.330203,0.809275,-0.775538
0.606155,-1.295821,0.765464,-0.752401
0.562348,-1.229228,0.721568,-0.680623
0.537360,-1.140259,0.672137,-0.573743
0.527007,-1.045166,0.614400,-0.451610
0.524811,-0.963030,0.549369,-0.337339
0.523093,-0.911394,0.482042,-0.253663
0.514254,-0.902047,0.420612,-0.219283
0.492035,-0.937893,0.374787,-0.245845
0.452567,-1.011583,0.353542,-0.336035
0.395059,-1.106276,0.362762,-0.483141
0.322020,-1.198451,0.403289,-0.672154
0.238977,-1.262240,0.469847,-0.882201
0.153748,-1.274482,0.551132,-1.089921
0.075355,-1.219486,0.631178,-1.273168
0.012747,-1.092550,0.691799,-1.414432
-0.026493,-0.901513,0.715731,-1.503388
-0.037275,-0.665973,0.689886,-1.538160
-0.017800,-0.414259,0.608101,-1.525118
0.030075,-0.178694,0.472831,-1.477291
0.100966,0.010013,0.295386,-1.411715
0.186564,0.128197,0.094608,-1.346222
0.276646,0.163491,-0.105867,-1.296263
0.360343,0.117110,-0.281301,-1.272322
0.427509,0.003738,-0.409884,-1.278373
0.470010,-0.150953,-0.476383,-1.311603
0.482747,-0.314708,-0.474748,-1.363401
0.464277,-0.454205,-0.409201,-1.421375
0.416951,-0.540684,-0.293582,-1.471990
0.346535,-0.554691,-0.149062,-1.503300
0.261373,-0.489103,-0.000628,-1.507274
0.171203,-0.349956,0.127057,-1.481300
0.085790,-0.154979,0.213669,-1.428620
0.013573,0.069816,0.246406,-1.357668
-0.039479,0.294828,0.221802,-1.280472
-0.070640,0.491951,0.145862,-1.210462
-0.080706,0.639148,0.032546,-1.160099
-0.073754,0.723715,-0.099086,-1.138765
-0.056402,0.743750,-0.228506,-1.151278
-0.036707,0.707654,-0.337448,-1.197239
-0.022862,0.631898,-0.413053,-1.271293
-0.021903,0.537558,-0.449857,-1.364162
-0.038642,0.446335,-0.450327,-1.464231
-0.074989,0.376829,-0.423885,-1.559346
-0.129781,0.341707,-0.384671,-1.638518
-0.199128,0.346235,-0.348538,-1.693244
-0.277225,0.388299,-0.329860,-1.718292
-0.357469,0.459802,-0.338801,-1.711898
-0.433689,0.549014,-0.379525,-1.675447
-0.501260,0.643361,-0.449670,-1.612805
-0.557890,0.732030,-0.541123,-1.529490
-0.603947,0.807919,-0.641898,-1.431869
-0.642241,0.868592,-0.738681,-1.326516
-0.677320,0.916140,-0.819539,-1.219786
-0.714389,0.956098,-0.876221,-1.117575
-0.758074,0.995719,-0.905638,-1.025190
-0.811255,1.042056,-0.910248,-0.947210
-0.874223,1.100266,-0.897321,-0.887261
-0.944319,1.172497,-0.877277,-0.847652
-1.016173,1.257558,-0.861475,-0.828907
-1.082503,1.351357,-0.859903,-0.829308
-1.135378,1.447963,-0.879246,-0.844588
-1.167694,1.540985,-0.921698,-0.867941
-1.174620,1.624914,-0.984700,-0.890487
-1.154725,1.696109,-1.061629,-0.902202
-1.110559,1.753215,-1.143234,-0.893291
-1.048555,1.796936,-1.219491,-0.855783
-0.978231,1.829257,-1.281488,-0.785104
-0.910804,1.852336,-1.322948,-0.681313
-0.857439,1.867387,-1.341131,-0.549701
-0.827437,1.873847,-1.336972,-0.400565
-0.826671,1.869084,-1.314502,-0.248077
-0.856556,1.848758,-1.279744,-0.108364
-0.913760,1.807789,-1.239377,0.002933
-0.990702,1.741741,-1.199482,0.073229
-1.076793,1.648311,-1.164654,0.095242
-1.160188,1.528574,-1.137629,0.068491
-1.229769,1.387641,-1.119471,-0.000278
-1.277009,1.234543,-1.110186,-0.097864
-1.297391,1.081241,-1.109550,-0.206502
-1.291130,0.940914,-1.117864,-0.306605
-1.263086,0.825778,-1.136400,-0.379872
-1.221863,0.744859,-1.167361,-0.412255
-1.178281,0.702125,-1.213324,-0.396243
-1.143475,0.695393,-1.276273,-0.332048
-1.126963,0.716251,-1.356470,-0.227486
-1.135027,0.751092,-1.451449,-0.096558
-1.169679,0.783125,-1.555459,0.043022
-1.228374,0.795067,-1.659570,0.172888
-1.304527,0.772051,-1.752549,0.277138
-1.388689,0.704264,-1.822407,0.344941
-1.470190,0.588834,-1.858388,0.372168
-1.538916,0.430617,-1.853025,0.361786
-1.586926,0.241715,-1.803830,0.322969
-1.609616,0.039782,-1.714247,0.269141
-1.606261,-0.154646,-1.593593,0.215341
-1.579857,-0.321340,-1.455925,0.175426
-1.536345,-0.443594,-1.317958,0.159665
-1.483385,-0.510926,-1.196377,0.173139
-1.428934,-0.520825,-1.105034,0.215235
-1.379904,-0.479255,-1.052541,0.280274
-1.341135,-0.399838,-1.040746,0.359085
-1.314841,-0.301836,-1.064415,0.441173
-1.300600,-0.207271,-1.112207,0.517009
-1.295826,-0.137615,-1.168810,0.579947
-1.296588,-0.110596,-1.217839,0.627418
-1.298564,-0.137584,-1.244977,0.661142
-1.297928,-0.221957,-1.240741,0.686383
-1.291987,-0.358681,-1.202349,0.710428
-1.279458,-0.535128,-1.134309,0.740653
-1.260370,-0.732980,-1.047609,0.782610
-1.235664,-0.930914,-0.957632,0.838568
-1.206636,-1.107633,-0.881210,0.906829
-1.174384,-1.244796,-0.833362,0.981955
-1.139442,-1.329417,-0.824350,1.055869
-1.101691,-1.355416,-0.857633,1.119572
-1.060599,-1.324127,-0.929100,1.165108
-1.015716,-1.243753,-1.027752,1.187336
-0.967304,-1.127898,-1.137688,1.185130
-0.916908,-0.993449,-1.241014,1.161721
-0.867690,-0.858146,-1.321112,1.124128
-0.824383,-0.738225,-1.365630,1.081765
-0.792789,-0.646457,-1.368632,1.044548
-0.778879,-0.590856,-1.331488,1.020895
-0.787620,-0.574174,-1.262366,1.016052
-0.821770,-0.594210,-1.174436,1.031123
-0.880884,-0.644795,-1.083183,1.063004
-0.960790,-0.717242,-1.003348,1.105243
-1.053696,-0.801990,-0.946141,1.149648
-1.148995,-0.890155,-0.917246,1.188271
